article_Id;AMSTAR_consensus_2;region
1;6;Canada
1;6;Canada
1;6;Canada
2;8;France
2;8;Netherlands
2;8;Netherlands
2;8;Netherlands
2;8;Netherlands
2;8;Netherlands
3;8;China
3;8;China
3;8;China
4;5;Italy
4;5;Italy
4;5;Italy
4;5;Italy
5;3;Portugal
5;3;Portugal
5;3;Portugal
6;9;UK
6;9;UK
7;8;China
7;8;China
8;7;China
8;7;China
9;8;Denmark
9;8;Denmark
9;8;Denmark
9;8;Denmark
9;8;Denmark
10;7;UK
10;7;UK
12;5;Canada
12;5;Canada
12;5;Canada
12;5;Canada
12;5;Canada
12;5;Canada
12;5;Canada
12;5;Canada
15;3;Portugal
15;3;Portugal
15;3;Portugal
16;9;France
16;9;USA
16;9;USA
16;9;USA
16;9;USA
16;9;USA
17;3;Australia
17;3;China
18;7;China
19;10;Australia
19;10;China
20;8;Thailand
20;8;USA
20;8;USA
21;11;Germany
21;11;Germany
21;11;Germany
21;11;UK
22;7;China
23;7;Spain
23;7;Spain
23;7;Spain
23;7;Spain
24;8;China
26;5;China
27;3;India
27;3;India
28;8;China
28;8;USA
28;8;USA
29;9;China
29;9;China
30;7;UK
30;7;UK
31;4;UK
31;4;UK
31;4;UK
32;4;South Korea
33;6;UK
33;6;UK
33;6;UK
34;4;Canada
34;4;USA
34;4;USA
34;4;USA
35;6;China
36;8;China
36;8;USA
37;4;Austria
37;4;France
37;4;France
37;4;USA
37;4;USA
37;4;USA
37;4;USA
37;4;USA
38;7;France
38;7;France
38;7;France
38;7;France
38;7;France
38;7;France
38;7;France
39;6;UK
39;6;UK
39;6;UK
40;9;Thailand
40;9;USA
40;9;USA
40;9;USA
41;3;South Korea
42;6;Germany
42;6;UK
42;6;UK
42;6;UK
42;6;UK
42;6;UK
44;7;Australia
44;7;China
45;6;Canada
45;6;Canada
45;6;Canada
47;7;Thailand
47;7;USA
48;10;UK
48;10;UK
48;10;UK
48;10;UK
49;7;China
49;7;China
50;1;USA
50;1;USA
50;1;USA
51;8;Italy
51;8;Italy
51;8;Italy
53;6;UK
53;6;UK
53;6;UK
53;6;UK
53;6;UK
54;9;Chile
54;9;Chile
54;9;Chile
54;9;Mexico
55;8;France
55;8;France
55;8;France
55;8;France
55;8;France
56;4;Spain
56;4;Spain
56;4;Spain
56;4;Spain
58;7;Ireland
58;7;Ireland
58;7;Ireland
59;10;Canada
59;10;Canada
59;10;Canada
59;10;Canada
59;10;Canada
59;10;Canada
59;10;Canada
59;10;Canada
60;3;Germany
61;7;Netherlands
62;5;Ireland
62;5;USA
62;5;USA
62;5;USA
63;4;Italy
63;4;Italy
63;4;Italy
63;4;Italy
64;5;China
64;5;Kuwait
64;5;Kuwait
64;5;USA
64;5;USA
65;10;Germany
66;9;Germany
67;7;China
67;7;China
68;1;China
68;1;China
68;1;China
68;1;China
71;5;France
71;5;France
71;5;France
71;5;France
71;5;France
71;5;France
71;5;France
71;5;France
72;6;Canada
72;6;Canada
72;6;Canada
72;6;Canada
72;6;Canada
72;6;Canada
72;6;Canada
72;6;Canada
73;5;Germany
74;8;USA
75;5;Australia
75;5;China
75;5;China
76;6;China
76;6;China
77;1;USA
77;1;USA
77;1;USA
81;7;Italy
81;7;Italy
81;7;Italy
81;7;Italy
83;10;UK
85;2;India
86;6;Canada
88;5;China
88;5;China
88;5;China
88;5;China
88;5;China
88;5;China
88;5;China
90;2;Switzerland
90;2;USA
90;2;USA
90;2;USA
90;2;USA
93;6;Thailand
93;6;Thailand
93;6;USA
94;8;Spain
94;8;Spain
94;8;Spain
94;8;Spain
97;6;Canada
97;6;Canada
97;6;Canada
97;6;Canada
97;6;Canada
97;6;Canada
97;6;Canada
97;6;Canada
103;7;China
103;7;China
104;8;China
104;8;China
104;8;China
105;2;USA
105;2;USA
105;2;USA
106;7;Germany
106;7;Germany
106;7;Germany
107;8;USA
107;8;USA
108;7;Norway
108;7;Norway
108;7;Norway
108;7;Norway
109;6;USA
110;7;Australia
110;7;China
111;9;China
111;9;China
111;9;China
112;6;France
112;6;France
112;6;France
112;6;France
112;6;France
112;6;France
112;6;France
112;6;France
113;8;Netherlands
113;8;Netherlands
113;8;Netherlands
113;8;Netherlands
113;8;Netherlands
114;2;Italy
114;2;Italy
114;2;Italy
114;2;Italy
114;2;Italy
114;2;Italy
115;8;Spain
115;8;Spain
116;6;Canada
119;9;Australia
119;9;Australia
119;9;China
120;10;UK
120;10;UK
120;10;UK
120;10;UK
121;9;UK
121;9;UK
121;9;UK
121;9;UK
122;9;Netherlands
122;9;Netherlands
122;9;Netherlands
122;9;Netherlands
124;4;Germany
124;4;Germany
124;4;Germany
124;4;Germany
124;4;Germany
124;4;Germany
124;4;Germany
124;4;Germany
125;6;France
125;6;France
125;6;France
125;6;France
125;6;France
125;6;France
125;6;France
125;6;France
126;7;Poland
127;6;China
128;6;UK
128;6;USA
129;3;Colombia
130;2;USA
131;2;Canada
132;2;USA
136;3;USA
137;5;France
138;1;France
139;1;Saudi Arabia
140;7;Portugal
141;5;China
142;9;Denmark
143;7;Canada
144;10;UK
146;8;Brazil
148;9;Australia
148;9;China
149;9;Spain
150;9;UK
151;4;Netherlands
153;8;USA
154;11;Spain
155;7;Australia
155;7;China
156;9;Netherlands
157;4;France
158;8;France
159;7;France
160;6;Netherlands
161;9;China
162;4;France
164;10;UK
165;3;China
166;6;China
167;6;Croatia
168;6;China
169;5;Canada
170;2;Austria
170;2;Italy
171;6;UK
173;10;Germany
173;10;Greece
175;9;USA
176;8;Australia
177;8;USA
178;7;Kuwait
179;4;Netherlands
180;1;USA
181;5;USA
182;3;UK
185;7;USA
186;5;China
187;1;Spain
188;6;UK
189;5;Denmark
190;10;China
191;9;India
192;9;USA
193;8;China
194;9;USA
195;3;Brazil
196;7;Germany
197;5;USA
199;5;Canada
202;4;Germany
202;4;USA
203;9;Australia
203;9;China
204;4;USA
205;3;France
206;5;France
207;5;France
208;4;France
209;5;France
210;5;France
211;4;France
213;3;France
214;6;USA
215;5;China
216;2;USA
217;6;UK
221;7;China
224;7;China
225;5;UK
229;5;USA
230;10;USA
231;9;USA
232;5;France
233;5;France
235;5;France
238;3;Netherlands
240;8;Denmark
240;8;UK
241;2;USA
245;7;Netherlands
246;2;Belgium
246;2;UK
249;3;France
250;3;France
252;4;France
253;3;Netherlands
253;3;USA
254;6;France
254;6;USA
260;2;USA
261;4;USA
262;7;Canada
262;7;USA
266;7;France
267;7;Italy
268;8;Germany
269;7;USA
270;2;USA
273;10;UK
276;6;Canada
280;10;UK
283;3;USA
284;5;Netherlands
285;7;UK
286;3;UK
287;4;UK
288;5;UK
289;7;UK
290;6;UK
291;6;Netherlands
294;5;Netherlands
298;6;China
300;5;South Korea
301;3;Russia
302;9;UK
303;3;USA
304;5;China
